,Best Fitness,Average Fitness,Diversity Fitness,Diversity Population,Time spent
29,-516.3263662147954,-820.9040821989503,545.007716380936,29.866356382978722,3873.1416244506836
30,-428.30211453054824,-772.1742421174464,448.6996528552537,29.798093971631207,3873.1416244506836
31,-444.0048754707368,-716.1655353224966,245.06667343804406,32.05341312056738,3873.1416244506836
32,-413.26175596189745,-703.9362326370332,329.8344333572164,33.023049645390074,3873.1416244506836
33,-425.61751157530307,-751.5317689092418,646.6493744556652,31.39561170212766,3873.1416244506836
34,-389.5496301182616,-744.9965401179146,412.42552864982474,30.22650709219858,3873.1416244506836
35,-509.5959272030823,-642.5256173461233,65.35604764487114,29.45412234042553,3873.1416244506836
36,-432.4732583380519,-718.4850532885279,306.60028245742393,29.46520390070922,3873.1416244506836
37,-377.9522860880176,-638.57135024432,120.28989056703453,33.3311170212766,3873.1416244506836
38,-423.1271864562498,-782.9928344710512,553.0696754156451,38.34242021276596,3873.1416244506836
39,-369.29138748594653,-691.955427713635,358.1826826932415,39.17619680851064,3873.1416244506836
40,-471.9503680485402,-772.0038530487727,444.84842963665983,39.63563829787234,3873.1416244506836
41,-469.2289268871871,-864.6926123402518,451.94194492887215,42.745345744680854,3873.1416244506836
42,-352.3468734107321,-814.6107448953277,521.8939607056287,46.4949024822695,3873.1416244506836
43,-341.1396433246493,-823.3188466766848,495.7528399808623,46.32446808510638,3873.1416244506836
44,-387.5950351314221,-724.5114498545172,210.708111486604,43.07757092198582,3873.1416244506836
45,-481.4814989118148,-814.652259747982,394.47434197213187,43.725398936170215,3873.1416244506836
46,-485.49480133096256,-698.6158018382921,165.49673620237806,41.9113475177305,3873.1416244506836
47,-359.8183924656284,-761.67710688355,537.123495710013,43.4290780141844,3873.1416244506836
48,-461.7008956167558,-776.3924474652762,471.92705705379376,43.81183510638298,3873.1416244506836
49,-468.2233536915361,-811.0531693746561,495.790820790427,45.8125,3873.1416244506836
50,-452.0394316593383,-698.1092898294801,249.41686935853386,45.097739361702125,3873.1416244506836
51,-479.0767806631585,-793.2598112001527,397.58926523768656,46.85793439716312,3873.1416244506836
52,-523.195316261269,-800.4850800602834,439.29267381471936,49.2626329787234,3873.1416244506836
53,-446.90498314196714,-806.4727739443375,378.1580915872202,51.638076241134755,3873.1416244506836
